"","filter","num_features","test_measure"
"1","information_gain",1,0.829234071596657
"2","information_gain",2,0.88374781070561
"3","information_gain",3,0.897635839184648
"4","information_gain",4,0.922620850633906
"5","information_gain",5,0.92800670486253
"6","information_gain",6,0.926855017245147
"7","information_gain",7,0.933132496254842
"8","information_gain",8,0.937250713401174
"9","information_gain",9,0.936419707925166
"10","information_gain",10,0.950674421440358
"11","information_gain",11,0.954265022597635
"12","information_gain",12,0.955809904320313
"13","information_gain",13,0.954979270984763
"14","information_gain",14,0.954229035823666
"15","information_gain",15,0.956016838167992
"16","information_gain",16,0.951331067235487
"17","information_gain",17,0.953137729974884
"18","information_gain",18,0.95848391561438
"19","information_gain",19,0.957522629306932
"20","information_gain",20,0.959990427280588
"21","information_gain",21,0.960488327458265
"22","information_gain",22,0.960908402773159
"23","information_gain",23,0.962275757662134
"24","information_gain",24,0.962755533807773
"25","information_gain",25,0.96423519593591
"26","information_gain",26,0.962516176233052
"27","information_gain",27,0.963623713740059
"28","information_gain",28,0.963027338863182
"29","information_gain",29,0.963120635267514
"30","information_gain",30,0.963196314384258
"31","information_gain",31,0.963070689267469
"32","information_gain",32,0.963253085598639
"33","information_gain",33,0.965259049347408
"34","information_gain",34,0.967570215778122
"35","information_gain",35,0.968522776579538
"36","information_gain",36,0.967942079109143
"37","information_gain",37,0.968665171770533
"38","information_gain",38,0.962894753928061
"39","information_gain",39,0.967440417937487
"40","information_gain",40,0.967667890771233
"41","information_gain",41,0.968544819963198
"42","information_gain",42,0.96967196214619
"43","information_gain",43,0.955340706465109
"44","information_gain",44,0.956717847856313
"45","information_gain",45,0.954455606018857
"46","information_gain",46,0.947936322808885
"47","information_gain",47,0.946942422745225
"48","information_gain",48,0.955318457216516
"49","information_gain",49,0.954163744968186
"50","information_gain",50,0.951070719355421
"51","information_gain",51,0.96008126914148
"52","information_gain",52,0.949001087916995
"53","information_gain",53,0.949525623849928
